id,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,genres,production_companies,vote_average,release_year
628,0,0,I Hate Christian Laettner,Rob Lowe|Ken Jeong|Verne Troyer|Mike Krzyzewski,,Rory Karpf,,individual|sport|baskeball,"He made perhaps the most dramatic shot in the history of the NCAA basketball tournament. He's the only player to start in four consecutive Final Fours, and was instrumental in Duke winning two national championships. He had looks, smarts and game. So why has Christian Laettner been disliked so intensely by so many for so long? Maybe it was the time he stomped on the chest of a downed player, or the battles he had with his teammates, or a perceived sense of entitlement. But sometimes, perception isn't reality. ""I Hate Christian Laettner"" will go beyond the polarizing persona to reveal the complete story behind this lightning rod of college basketball. Featuring extensive access to Laettner, previously unseen footage and perspectives from all sides, this film will be a ""gloves-off"" examination of the man who has been seen by many as the ""Blue Devil Himself."" - Written by Anonymous",Documentary,,6.7,2015
629,0,0,The Emperor's New Clothes,Russell Brand,,Michael Winterbottom,,,"Michael Winterbottom, celebrated director of 24 Hour Party People, The Road to Guantanamo, and The Trip, joins forces with actor, comedian, and provocateur Russell Brand for that most unlikely of documentary approaches: an uproarious critique of the world financial crisis. Building on Brandâ€™s emergence as an activist following his 2014 book Revolution, where he railed against â€œcorporate tyranny, ecological irresponsibility, and economic inequality,â€ The Emperorâ€™s New Clothes pairs archival footage with comedic send-ups conducted in the financial centers of London and New York. Brand spotlights not only how the crisis affected the working class around the world, but also how the uber-wealthy benefited from the downturn. With Winterbottom providing his signature ingenuity and pinpoint directorial control, they generate a riveting, boisterous, and, at times, cathartic riff on the extreme disparities between the haves and have nots in contemporary society.",Documentary,,6.1,2015
630,165000000,621752480,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,http://www.interstellarmovie.net/,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,8,2014
631,170000000,773312399,Guardians of the Galaxy,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,http://marvel.com/guardians,James Gunn,All heroes start somewhere.,marvel comic|spaceship|space|scene during end credits|outer space,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",Action|Science Fiction|Adventure,Marvel Studios|Moving Picture Company (MPC)|Bulletproof Cupid|Revolution Sun Studios,7.9,2014
632,170000000,714766572,Captain America: The Winter Soldier,Chris Evans|Scarlett Johansson|Sebastian Stan|Samuel L. Jackson|Robert Redford,http://www.captainamericathewintersoldiermovie.com,Joe Russo|Anthony Russo,In heroes we trust.,washington d.c.|future|shield|marvel comic|comic,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemyâ€”the Winter Soldier.",Action|Adventure|Science Fiction,Marvel Studios,7.6,2014
633,20000000,78739897,John Wick,Keanu Reeves|Michael Nyqvist|Alfie Allen|Willem Dafoe|Dean Winters,http://www.johnwickthemovie.com/,Chad Stahelski|David Leitch,Don't set him off.,hitman|revenge|murder|gangster|dog,"After the sudden death of his beloved wife, John Wick receives one last gift from her, a beagle puppy named Daisy, and a note imploring him not to forget how to love. But John's mourning is interrupted when his 1969 Boss Mustang catches the eye of sadistic thug Iosef Tarasov who breaks into his house and steals it, beating John unconscious in the process. Unwittingly, he has just reawakened one of the most brutal assassins the underworld has ever known.",Action|Thriller,Thunder Road Pictures|Warner Bros.|87Eleven|DefyNite Films|MJW Films,7,2014
634,125000000,752100229,The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Donald Sutherland,http://www.thehungergames.movie/,Francis Lawrence,Fire burns brighter in the darkness,resistance|post-apocalyptic|dystopia|war|sequel,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,Science Fiction|Adventure|Thriller,Lionsgate|Color Force,6.6,2014
635,250000000,955119788,The Hobbit: The Battle of the Five Armies,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,http://www.thehobbit.com/,Peter Jackson,Witness the defining chapter of the Middle-Earth saga,corruption|elves|dwarves|orcs|middle-earth (tolkien),"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Adventure|Fantasy,WingNut Films|New Line Cinema|3Foot7|Metro-Goldwyn-Mayer (MGM),7.1,2014
636,165000000,652105443,Big Hero 6,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,http://movies.disney.com/big-hero-6,Don Hall|Chris Williams,From the creators of Wreck-it Ralph and Frozen,brother brother relationship|hero|talent|revenge|best friend,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Adventure|Family|Animation|Action|Comedy,Walt Disney Pictures|Walt Disney Animation Studios,7.8,2014
637,14000000,233555708,The Imitation Game,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,http://theimitationgamemovie.com/,Morten Tyldum,The true enigma was the man who cracked the code.,gay|england|world war ii|mathematician|biography,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",History|Drama|Thriller|War,Black Bear Pictures|Bristol Automotive,8,2014
638,34000000,348319861,The Maze Runner,Dylan O'Brien|Ki Hong Lee|Kaya Scodelario|Aml Ameen|Blake Cooper,http://themazerunnermovie.com/,Wes Ball,Run - Remember - Survive,based on novel|maze|post-apocalyptic|dystopia|escape,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",Action|Mystery|Science Fiction|Thriller,Ingenious Media|Twentieth Century Fox Film Corporation|Gotham Group|Dayday Films|Temple Hill Entertainment,7,2014
